transfer,sendCpuUtil,sendDiskUtil,sendProcNum,sendTransferCpu,recvCpuUtil,recvDiskUtil,recvProcNum,recvTransferCpu,btlNckRate,dur,size,rate
114,100.0,18.6117168339,757.035087719,2.51481481481,100.0,8.76215719064,563.834645669,6.47322834646,1000,300.24,5.37,154
122,100.0,18.8751393534,754.290909091,2.52452830189,100.0,7.28590858417,562.015748031,5.97401574803,1000,300.22,5.24,150
5,12.8820175439,50.9939823009,359.263157895,17.872972973,100.0,27.6169026549,421.121212121,31.8439393939,1000,105.75,9.99,812
97,99.9996,19.1655072464,685.370967742,2.60666666667,100.0,12.5005908584,413.900552486,9.70662983425,1000,300.06,5.93,170
230,100.0,26.4822519509,1077.31428571,2.04545454545,100.0,10.3572630992,528.217687075,7.12857142857,128.420772126,300.21,4.29,123
210,97.4175,29.8638851728,896.527777778,4.86714285714,100.0,9.08525641026,514.960784314,8.1522875817,234.965986708,300.32,7.86,225
189,100.0,17.8502564103,1095.55172414,1.82592592593,100.0,12.7128037904,409.225274725,10.7368131868,111.858336256,300.20,3.74,107
236,100.0,25.3975975474,1111.73529412,2.0625,100.0,9.64564102564,529.809859155,6.90070422535,126.173425206,300.33,4.22,121
113,99.9996,18.6465496098,745.087719298,2.56727272727,100.0,7.81753065775,564.1484375,5.86328125,1000,300.13,5.35,153
211,96.9750333333,31.0173968785,873.328767123,3.57887323944,100.0,6.89748606466,514.602649007,7.7119205298,217.406060365,300.11,7.26,208
101,99.9996,19.0480100334,694.233333333,2.75862068966,100.0,11.6148439242,412.20441989,9.24254143646,1000,300.09,5.77,165
128,87.7291752577,33.2761226252,639.694117647,12.6833333333,100.0,25.8238255613,427.285714286,25.7080357143,485.48841829,185.02,10.0,464
220,100.0,25.3562151616,1102.33333333,2.16176470588,100.0,8.86774804905,511.048275862,6.26413793103,122.527645863,300.11,4.09,117
67,48.2303,21.6787792642,498.420765027,12.1038674033,100.0,5.95683946488,516.619402985,8.97388059701,1000,277.59,9.98,309
22,99.999281768,26.8590185185,460.706666667,6.87123287671,100.0,28.3724907407,415.342857143,26.3180952381,1000,172.69,10.0,497
170,97.0376333333,28.5795317726,731.648351648,7.36404494382,100.0,25.1704236343,418.119318182,19.1051136364,306.529379006,293.04,10.0,293
87,99.9985660377,25.0728977273,611.784810127,4.19736842105,100.0,12.2566666667,498.550387597,10.6689922481,1000,244.48,9.99,351
205,96.7627333333,29.0357692308,832.493150685,3.05138888889,100.0,5.35555183946,611.322033898,5.37457627119,200.218052096,300.06,6.68,191
100,100.0,18.790657748,707.316666667,2.58793103448,100.0,10.0203790412,413.301675978,10.2145251397,1000,300.13,5.75,164
192,100.0,18.8543756968,1066.90322581,1.76785714286,100.0,12.6473467113,413.752747253,10.2637362637,110.698767795,300.45,3.70,106
35,99.9995555556,19.8833085502,515.041666667,5.40744680851,100.0,24.1821189591,417.113207547,18.7308176101,1000,261.92,10.0,328
121,100.0,19.195206243,747.607142857,2.51296296296,100.0,6.11088071349,561.792,6.1352,1000,300.16,5.44,156
127,86.1213242009,31.0510321101,640.627659574,11.1485148515,100.0,27.4694444444,426.1796875,25.3609375,428.171769854,209.78,10.0,409
45,31.3895719844,22.5900325521,443.302469136,11.78125,100.0,11.3123632813,476.266666667,12.8259259259,1000,238.50,10.0,360
86,99.9990974729,24.4892451691,617.585365854,3.89240506329,100.0,11.9095169082,496.492537313,10.2805970149,1000,257.01,9.98,334
95,99.9991666667,18.8057525084,704.032258065,2.86666666667,100.0,10.0812820513,412.223463687,10.5664804469,1000,300.05,5.86,168
175,96.4616296296,31.7896716233,742.158536585,10.16625,100.0,16.6255987654,416.930379747,16.6392405063,345.910576819,259.70,10.0,331
6,12.6816363636,51.7151834862,358.643835616,18.138028169,100.0,23.8722324159,421.415384615,31.1353846154,1000,101.21,9.98,847
14,99.999047619,39.61468,431.316666667,9.35,100.0,28.10572,420.095890411,30.7671232877,1000,117.84,10.0,729
199,96.0603333333,25.3343088071,862.769230769,3.33421052632,100.0,2.45105908584,610.053097345,4.95752212389,203.632338561,300.07,6.78,194
207,95.8475666667,28.5182329989,874.552631579,3.63243243243,100.0,2.3152173913,614.5,5.05689655172,201.826067329,300.14,6.72,192
115,100.0,19.2568784838,700.440677966,2.7298245614,100.0,7.96180602007,564.426356589,6.34418604651,1000,300.05,5.56,159
60,42.8286642599,22.3594263285,475.323529412,11.7857142857,100.0,6.95689009662,496.271317829,10.5341085271,1000,255.73,9.98,335
62,44.9184353741,21.5257110353,481.70718232,15.8274611399,100.0,11.2022127418,516.715328467,9.20802919708,1000,266.43,9.98,322
84,100.0,24.8138705739,586.511904762,4.33414634146,100.0,9.41731751825,496.419847328,11.7351145038,1000,251.38,9.99,341
78,100.0,24.8443043478,589.7625,4.70769230769,100.0,12.0576086957,475.262711864,13.1279661017,1000,213.96,9.99,401
37,99.9980314961,20.2335902503,505.897727273,5.10813953488,100.0,17.9351844532,412.43537415,23.5238095238,1000,246.66,10.0,348
93,100.0,18.7873467113,673.126984127,2.64754098361,100.0,15.113729097,414.188888889,9.72944444444,1000,300.13,6.01,172
11,100.0,35.95908,428.672131148,9.47627118644,100.0,17.0715733333,420.266666667,29.584,1000,117.60,10.0,730
155,90.1126122449,30.5943306011,729.708860759,8.22987012987,100.0,25.2839002732,418.166666667,21.7354166667,381.579730728,235.42,10.0,365
23,100.0,26.0759904762,467.0,7.17464788732,100.0,23.4193714286,416.519607843,28.0039215686,1000,167.78,10.0,512
49,34.5318803419,25.740851216,448.831081081,10.2164383562,100.0,9.53745014245,475.844262295,13.0631147541,1000,221.01,9.98,388
159,91.3796666667,21.7767279822,719.686868687,4.15154639175,100.0,36.0280379041,416.079096045,23.5429378531,184.757708378,300.06,6.17,177
176,100.0,21.3963768116,817.509803922,2.46041666667,100.0,21.9862653289,416.56043956,14.5126373626,161.167439912,300.11,5.38,154
172,96.0760661765,29.6615375154,737.12195122,8.4325,100.0,23.6418315018,418.01875,20.514375,342.004492793,262.65,10.0,327
