transfer,sendCpuUtil,sendDiskUtil,sendProcNum,sendTransferCpu,recvCpuUtil,recvDiskUtil,recvProcNum,recvTransferCpu,btlNckRate,dur,size,rate
119,99.9996,18.8901895206,735.456140351,2.75818181818,100.0,7.79590858417,561.0390625,6.3515625,1000,300.07,5.43,155
157,91.3363519313,32.3052945402,728.184210526,8.8027027027,100.0,20.4393462644,414.109489051,17.6182481752,402.731220158,223.04,10.0,385
177,100.0,20.8127536232,788.019607843,2.30185185185,100.0,17.4979152731,414.438888889,12.9633333333,160.564018448,300.09,5.36,154
58,40.4745724907,22.642960199,469.602409639,11.8347560976,100.0,9.88854399009,495.380952381,10.8928571429,1000,246.47,9.98,348
40,99.9990671642,20.8488451935,517.597826087,4.96222222222,100.0,15.4425905119,413.935897436,20.3301282051,1000,260.08,10.0,330
2,9.89570175439,48.5519911504,351.052631579,13.6905405405,100.0,25.8367846608,420.23880597,32.352238806,1000,109.03,10.0,788
124,82.7466,20.1217781494,632.353383459,4.16641221374,100.0,45.0567447046,424.283236994,25.7791907514,187.180664209,300.05,6.25,179
75,99.999496124,24.4017380026,563.891304348,4.05263157895,100.0,9.17089494163,475.317829457,12.7751937984,1000,240.63,9.99,357
244,100.0,23.0947881828,1253.14285714,1.72,100.0,8.61565774805,574.238461538,4.72615384615,104.294606514,300.26,3.49,99.7
33,100.0,20.7038394062,494.677777778,5.52272727273,100.0,19.4547503374,414.618055556,20.63125,1000,239.62,10.0,358
146,89.3666523605,32.7866522989,691.529411765,9.9,100.0,24.8536337625,418.248175182,22.5211678832,400.111046129,224.50,10.0,383
184,100.0,21.9297435897,852.708333333,2.54,100.0,18.9656298774,418.414364641,14.3596685083,153.355686933,300.23,5.13,147
168,96.1581333333,22.0314437012,738.03125,4.18510638298,100.0,35.8187235229,420.111731844,22.9737430168,182.786117241,300.10,6.11,175
89,99.9995419847,26.2238888889,610.571428571,3.99625,100.0,12.2641443167,497.903225806,11.0387096774,1000,243.13,10.0,353
112,100.0,18.8242920847,755.931034483,2.42575757576,100.0,7.83746376812,566.694656489,6.20610687023,1000,300.09,5.39,154
109,78.5617333333,19.6601560758,589.713414634,7.66728395062,100.0,11.0669063545,612.75,5.45892857143,1000,300.02,6.69,192
79,100.0,21.6464041995,580.681818182,4.46395348837,100.0,8.00602362205,477.763779528,12.425984252,1000,236.92,9.99,362
44,29.6370852018,25.7540690691,438.283687943,12.2407142857,100.0,13.9411786787,476.669642857,12.9794642857,1000,207.00,9.99,414
206,96.8802,29.0956020067,856.333333333,4.11506849315,100.0,2.55890189521,614.598214286,5.36607142857,207.905584617,300.08,6.93,199
106,76.0565666667,20.2686845039,587.49375,8.10063291139,100.0,5.57553511706,614.963302752,5.42935779817,1000,300.02,6.99,200
56,38.7325,22.2900063371,468.626506024,13.4420731707,100.0,11.5434217172,497.063492063,10.8595238095,1000,240.20,9.98,357
136,91.1257079646,29.6065481481,661.681318681,10.6865168539,100.0,28.5386061947,420.827067669,25.1661654135,413.894080324,217.02,10.0,396
181,100.0,21.6867502787,852.604166667,2.57608695652,100.0,16.7844537347,415.276243094,12.0806629834,156.807693189,300.12,5.24,150
57,40.505,23.3792458809,474.475308642,13.01625,100.0,12.4125158428,499.708661417,10.9842519685,1000,241.14,9.99,356
28,99.9986979167,26.017539267,484.298701299,7.088,100.0,24.9304624782,417.079646018,23.6681415929,1000,183.55,10.0,468
215,98.3739666667,31.2545373467,900.088235294,4.62727272727,100.0,7.46762541806,513.693333333,7.55266666667,229.232744714,300.11,7.65,219
73,99.9995,25.1170990237,581.880952381,4.19390243902,100.0,11.6208019526,478.0,12.7741935484,1000,220.25,9.99,390
66,47.58221843,21.9669406393,489.238888889,12.4146067416,100.0,10.1661415525,517.167938931,8.9893129771,1000,267.53,9.99,321
248,100.0,22.3590746934,1196.77777778,1.732,100.0,7.08423634337,584.238095238,5.04603174603,100.792768448,300.20,3.37,96.4
240,100.0,22.8258918618,1209.42857143,1.80769230769,100.0,7.53358416945,577.230769231,5.88153846154,108.14258049,300.16,3.61,103
71,100.0,23.2945504841,562.454545455,4.48488372093,100.0,10.4010330579,477.475806452,12.5040322581,1000,223.58,9.99,384
218,98.7852333333,31.652909699,908.318181818,5.40153846154,100.0,6.68026755853,514.719178082,8.10821917808,226.308850839,300.24,7.56,216
132,89.1472333333,15.6150111483,648.207692308,5.84492753623,100.0,43.0078762542,423.06741573,24.1123595506,96.5724894162,300.08,3.23,92.4
20,100.0,31.4430769231,452.191780822,9.3014084507,100.0,28.0151923077,415.373626374,29.2021978022,1000,148.85,10.0,577
118,100.0,18.238400223,721.5,2.46727272727,100.0,8.28377926421,563.886363636,5.63863636364,1000,300.62,5.19,148
154,90.6860687023,28.9541954023,700.443181818,8.25348837209,100.0,29.1084287532,416.129032258,20.6929032258,354.828072112,253.16,10.0,339
196,100.0,18.963567447,1099.86206897,1.68888888889,100.0,14.1201505017,409.442622951,10.3540983607,108.213470474,300.11,3.62,103
165,95.2646215139,31.93166,730.3375,10.3076923077,100.0,19.8695,414.517006803,19.6578231293,371.92007578,241.54,10.0,356
83,100.0,26.7373155216,588.271604938,4.26582278481,100.0,11.6930152672,497.154471545,11.5260162602,1000,240.65,9.98,356
226,100.0,26.2078818283,1105.77777778,2.11176470588,100.0,8.83040691193,517.972789116,6.23673469388,119.6308225,300.27,4.00,114
241,100.0,22.6392474916,1242.14285714,1.82,100.0,7.94682831661,570.766129032,5.32016129032,111.038324472,300.39,3.71,106
237,100.0,25.1485730212,1166.57575758,2.12666666667,100.0,9.48022296544,537.643356643,7.27132867133,123.624803945,300.12,4.13,118
103,75.8346666667,19.2249219621,571.822857143,8.58265895954,100.0,9.71798216276,615.939130435,5.22260869565,1000,300.02,6.28,180
130,89.7206214689,35.4302651515,644.945945946,12.435,100.0,20.7902935606,422.682692308,22.0538461538,533.659075285,168.32,10.0,510
90,100.0,21.8777926421,608.010752688,3.28021978022,100.0,5.13947045708,496.906666667,10.8826666667,1000,300.01,9.69,277
30,99.9993650794,26.0055673759,486.315789474,7.08378378378,100.0,23.9580851064,414.327272727,27.7090909091,1000,180.76,10.0,475
92,100.0,18.5194593088,697.765625,2.87741935484,100.0,11.6475139353,413.510989011,10.5598901099,1000,300.13,6.00,172
224,100.0,25.3581382386,1066.78378378,2.10285714286,100.0,9.70906354515,514.447552448,6.12657342657,120.436991972,300.21,4.02,115
52,36.1834082397,23.113433584,451.946107784,12.1448484848,100.0,9.47166666667,494.984615385,10.5053846154,1000,244.97,9.98,350
105,75.7852,19.4063991081,578.296296296,7.90943396226,100.0,4.15071906355,612.135135135,5.36036036036,1000,300.00,6.81,195
10,15.2121818182,53.3429510703,369.125,18.8757142857,100.0,29.3822171254,420.242424242,28.7348484848,1000,101.65,10.0,845
